4	4	2	6	4	2	3	9	14	8	11	22	17	14	17	16	12	7	11	16	45	40	47	42	26	19	16	12	10	18	27	49	36	14	13	13	8	11	26	35	21	10	10	12	15	12	11	11	6	22	14	9	3	10	15	17	11	21	25	12	30	52	85	92	92	114	101	106	89	110	99	94	80	73	79	74	82	79	91	103	88	86	93	96	94	89	91	99	102	105	95	96	92	91	71	79	46	38	25	19	14	5	5	4	2	2	2	3	1	0	1	0	1	0	2	2	0	2	1	0	2	0	1	2	1	1	0	2	4	1	1	3	1	1	0	0	1	1	0	1	2	1	1	0	1	1	1	0	3	4
2	1	1	4	1	2	3	1	6	6	15	15	15	9	8	3	3	7	3	10	18	38	44	27	12	7	6	9	5	6	6	13	14	3	2	3	3	5	5	6	6	9	6	4	0	4	7	7	11	16	9	4	2	7	19	12	12	12	28	25	16	23	33	57	78	79	90	84	90	110	96	92	82	85	77	73	60	74	82	85	87	85	102	89	81	100	102	102	93	105	94	105	100	116	106	95	110	92	77	73	51	49	27	12	16	8	5	4	4	4	0	1	0	0	3	1	1	1	1	0	1	1	2	2	2	1	1	1	2	1	2	1	3	1	2	0	1	0	2	3	2	0	0	0	1	2	1	0	2	0
1	2	1	1	4	3	4	3	6	7	15	11	8	4	8	12	9	7	7	5	30	39	17	5	4	2	1	1	10	14	11	10	1	7	4	5	5	5	3	5	0	0	2	1	3	4	5	12	17	16	8	4	2	4	10	11	5	14	29	42	46	30	41	28	45	65	87	105	93	90	88	91	108	97	58	74	49	49	74	76	88	69	70	100	75	92	86	91	99	116	110	102	106	106	111	116	118	108	110	118	95	88	91	68	44	34	26	22	9	6	6	3	2	8	1	1	2	3	3	1	2	3	3	0	1	1	2	1	0	2	2	2	0	2	0	0	0	1	1	2	0	0	0	3	1	3	2	1	1	0
0	0	1	1	2	3	2	3	1	4	1	12	3	5	9	19	30	29	12	11	17	21	9	7	7	0	6	4	5	8	17	7	2	4	2	4	3	1	5	5	1	3	2	7	4	4	7	6	26	28	12	2	0	4	9	13	12	11	29	34	63	47	38	32	12	20	34	32	68	75	98	95	79	77	84	98	82	71	75	57	59	59	82	81	72	116	98	96	103	100	87	82	78	96	90	107	106	99	98	104	109	112	100	112	91	89	79	71	54	38	26	26	20	15	3	4	2	4	1	3	4	3	1	3	1	2	1	3	2	1	0	1	2	2	2	3	2	3	2	0	0	1	2	1	0	0	3	0	1	3
3	2	0	2	3	1	1	1	0	3	0	1	4	6	18	24	24	8	12	8	11	9	9	2	0	1	1	4	5	6	5	5	2	1	3	8	3	2	4	1	1	3	5	5	14	5	10	19	16	21	9	4	4	18	17	27	12	19	37	60	49	65	30	22	17	10	11	16	25	46	75	92	85	84	75	90	91	102	84	86	80	86	64	73	91	101	94	87	113	107	91	97	96	92	83	74	84	103	91	97	106	103	123	123	116	120	120	107	98	91	100	65	42	23	16	11	8	6	11	1	1	2	1	3	1	1	3	2	4	3	1	0	4	3	2	3	1	0	1	0	1	2	3	2	0	1	0	2	1	0
0	0	1	1	2	3	0	0	1	3	3	0	3	6	10	19	17	6	10	10	9	1	1	0	1	1	2	5	4	6	4	2	3	3	3	5	7	4	6	7	12	19	14	11	11	9	16	19	31	38	15	6	4	7	32	38	29	26	41	45	60	51	45	24	6	3	5	5	9	24	32	51	76	79	83	93	78	84	104	81	79	82	88	95	85	96	74	110	113	117	104	100	105	78	100	86	96	82	100	94	101	103	116	121	108	88	113	95	107	102	95	89	107	100	62	37	26	11	9	9	5	4	1	2	0	1	0	3	1	2	3	1	1	0	0	1	0	0	1	0	3	1	1	4	1	2	2	3	0	2
1	0	1	2	1	1	4	1	1	0	3	3	3	5	6	13	23	10	8	5	8	19	10	2	0	4	3	10	9	8	2	3	11	1	8	8	4	4	8	18	26	24	18	21	12	26	26	34	31	31	19	18	12	12	35	33	36	40	41	45	67	53	54	25	9	6	7	3	9	12	13	14	24	44	78	82	87	86	86	78	103	97	105	90	96	96	105	88	90	108	96	79	108	116	117	117	99	119	95	98	98	87	89	93	101	102	92	91	90	94	87	61	109	83	75	85	68	46	34	17	11	4	4	1	2	1	0	2	1	2	1	1	0	2	1	0	0	2	2	2	2	2	1	1	2	1	1	0	0	2
0	1	1	3	0	2	1	3	0	0	1	1	1	3	11	3	13	20	5	4	5	9	8	7	4	5	7	16	13	4	6	9	3	10	19	15	5	6	6	19	23	21	17	17	25	10	22	20	34	31	56	51	28	26	52	63	76	60	52	39	40	55	53	44	17	11	8	11	7	11	17	21	12	25	37	45	62	89	94	89	84	95	110	98	102	99	99	95	89	115	94	92	102	89	104	92	130	96	89	114	96	88	88	100	95	84	78	100	71	84	88	72	74	64	77	64	75	69	72	42	20	16	10	10	0	2	1	3	0	3	0	0	1	1	1	1	2	2	1	1	0	2	2	1	2	1	2	2	3	1
4	3	1	2	0	2	1	3	2	0	3	2	1	2	5	2	3	5	4	2	2	4	2	1	2	3	4	8	12	13	12	7	18	24	36	28	12	3	8	11	21	20	14	11	25	20	12	17	27	33	31	43	54	51	53	77	85	98	88	57	59	74	61	54	35	39	26	25	22	21	28	23	8	5	15	20	22	45	65	98	92	103	110	108	93	97	99	110	110	107	104	100	110	101	112	97	91	116	111	98	116	101	100	108	96	112	76	74	80	56	60	67	68	77	65	66	67	48	42	47	54	28	24	8	2	1	2	1	3	1	3	0	1	2	3	4	1	3	0	0	2	1	1	0	2	1	1	0	1	0
0	0	2	1	0	1	1	2	1	1	6	2	1	2	2	3	3	3	6	1	6	4	4	1	0	5	4	4	11	9	17	24	19	31	21	27	10	8	6	12	24	18	13	4	11	7	3	8	8	7	13	34	76	70	88	90	83	86	78	48	59	66	52	45	47	54	31	45	41	36	39	18	10	9	10	14	16	28	40	72	83	96	88	105	104	103	114	93	102	115	109	113	116	129	124	96	106	118	118	109	107	137	119	119	103	99	91	108	90	84	79	73	66	64	61	48	47	32	36	31	23	42	24	9	3	2	3	2	1	1	1	0	3	0	2	1	1	2	2	2	1	1	1	2	4	2	4	2	0	0
